circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load,hour,day_of_week,month,temperature,humidity,area_type,population_density,solar_capacity,solar_generation,renewable_type,renewable_percentage
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,S.K.NAGAR & BARRELA PT,DOMESTIC,1,1202,1193.0,147891,1775.62,6,5,9,21.02075948167992,31.09578630736326,rural,263,486.2928773858326,322.68323792309616,solar,18.17298959930031
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,SANTOSHGIRI,DOMESTIC,1,2595,2470.0,261925,2878.66,19,6,12,35.198434220340154,35.25100164519205,urban,2940,1187.066388792672,712.6942646959537,solar,24.757847911735105
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,SRAVANTHI NAGAR,DOMESTIC,1,1364,1354.0,184931,2827.31,14,4,11,26.32940699049654,73.761868343556,industrial,2360,575.785996067869,352.0216256511884,solar,12.450761524247019
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,SRI KRISHNA NAGAR-B BLOCK,DOMESTIC,1,1294,1257.0,197700,3037.4,10,6,8,27.51172056130209,54.7403961475576,urban,8584,1506.0865635272605,1454.5215489365703,solar,47.8870596212738
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,SRIKRISHNA NAGAR-A BLOCK,DOMESTIC,1,1379,1355.0,179740,1853.62,7,6,7,29.704621064980223,51.61903152155054,industrial,5340,712.4028725834236,518.0788572080763,solar,27.94957203785438
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,TAHERVILLA,DOMESTIC,1,607,597.0,110758,2147.01,20,2,2,30.143898059426164,30.62668690004217,industrial,495,506.4819112424442,408.7667098218488,solar,19.038882437522357
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,VENKATAGIRI,DOMESTIC,1,1648,1602.0,209099,2166.0,6,2,8,24.12371153940822,47.89307261115467,urban,6147,757.1377847004279,595.0226987502504,solar,27.47103872346493
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,VENKATAGIRI-2,DOMESTIC,1,1657,1627.0,215086,2272.46,18,0,3,33.412839803769415,79.27118252452343,urban,2569,1095.744544133556,693.2810402865989,solar,30.507953507942887
BANJARA HILLS,BANJARA HILLS,AMEERPET,YOUSUFGUDA,YOUSUF GUDA BASTI,DOMESTIC,1,969,928.0,119367,1771.17,22,4,6,33.85079959911747,50.42203588141692,rural,1691,805.7229792703055,402.9334064018562,solar,22.7495613860813
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,APARTMENT IN ARORA COLONY,DOMESTIC,1,124,124.0,17646,523.92,10,4,10,22.84601848998487,87.82160721076903,rural,3251,151.76688849382364,83.80033405915592,solar,15.994872129171615
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,DK BASTI MASJID &APARTMENTS,DOMESTIC,1,537,534.0,135253,2169.72,10,2,7,30.658190798251624,53.397536612585675,urban,8143,691.8020264248173,633.2697417871309,solar,29.186703435794985
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,DWARAKAPURI COLONY,DOMESTIC,1,235,219.0,49356,834.5,23,3,12,32.18518696454586,57.84773407707593,industrial,1504,380.5882779655973,211.10353803855017,solar,25.297008752372697
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,DWARAKAPURI COLONY APPT,DOMESTIC,1,617,604.0,166274,3126.0,20,3,6,23.72503086800585,78.11456819852698,rural,5105,1469.2308758839165,886.5081383949669,solar,28.359185489282368
BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,BANJARA HILLS,GOWRI SHANKAR COLONY NORTH,DOMESTIC,1,1357,1354.0,167976,1732.46,3,0,5,37.889242530586294,88.98145819514937,urban,8731,821.8428380022123,786.0205967886275,solar,45.37020172405871
